"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.78%"
"Apr 22, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 19, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 18, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 17, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 16, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 15, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 12, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 11, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 10, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","0.00%"
"Apr 09, 2019","64,500.00","64,500.00","66,000.00","63,000.00","-","-0.77%"
"Apr 08, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Apr 04, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Apr 03, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Apr 02, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","0.00%"
"Apr 01, 2019","65,000.00","65,000.00","66,500.00","63,500.00","-","-0.76%"
"Mar 29, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.00%"
"Mar 28, 2019","65,500.00","65,500.00","67,000.00","64,000.00","-","0.00%"
